0,7,9,8,9,7,0,0,0,0,0,0,0,0,0,1,6,1,1,6,0,0,0,0,9
0,1,1,1,1,1,0,0,6,6,6,6,6,0,3,9,9,9,9,9,0,3,6,0,7
0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,6,1,1,6,6,0,0,2,0,9
0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,8,9
0,1,1,6,1,1,0,0,1,6,1,6,1,0,0,7,8,7,8,7,0,0,1,7,9
0,9,9,9,9,9,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
0,6,1,6,1,6,0,0,6,1,1,1,6,2,0,1,1,1,6,1,0,0,1,7,9
0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,9,9,9,9,9,0,3,3,3,9
2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,6,6,6,6,6,0,0,0,0,0
0,9,8,9,7,9,0,0,9,9,8,9,9,0,0,0,0,0,2,0,0,0,1,8,9
0,6,6,6,6,6,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,6,0,0,1,7,9
0,9,8,9,7,9,2,0,9,9,8,9,9,0,0,9,9,9,9,9,0,0,0,0,0
0,6,6,6,6,6,0,0,1,1,6,1,1,2,0,6,6,1,6,6,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8
